epoch,train_loss,val_loss,lr,elapsed_time,best_val_loss,best_metric_name,best_metric_value,best_epoch,early_stopping_counter,gradients_finite,improved,val_rollout_position_error_20,val_rollout_heading_error_20,rmse_delta_x_body_train,rmse_delta_x_body_val,train_rmse_delta_x_body,val_rmse_delta_x_body,rmse_delta_y_body_train,rmse_delta_y_body_val,train_rmse_delta_y_body,val_rmse_delta_y_body,rmse_delta_theta_train,rmse_delta_theta_val,train_rmse_delta_theta,val_rmse_delta_theta,rmse_v_next_train,rmse_v_next_val,train_rmse_v_next,val_rmse_v_next,rmse_omega_next_train,rmse_omega_next_val,train_rmse_omega_next,val_rmse_omega_next
1,0.01777266694375679,0.0065845749629982585,0.001,0.3234190000075614,0.0065845749629982585,val_loss,0.0065845749629982585,1,0,True,True,0.031892831890913846,0.008623209316283464,0.0005218338519251936,0.0002416135878691849,0.0005218338519251936,0.0002416135878691849,0.0027332794841033073,0.0014356327343754075,0.0027332794841033073,0.0014356327343754075,0.0015342808095047745,0.0010022847657764132,0.0015342808095047745,0.0010022847657764132,0.020873372504834363,0.00966455160870101,0.020873372504834363,0.00966455160870101,0.06137123362003755,0.04009139218546455,0.06137123362003755,0.04009139218546455
2,0.00490362623810856,0.0055576274845877596,0.001,3.954540899998392,0.0055576274845877596,val_loss,0.0055576274845877596,2,0,True,True,0.034416350208581095,0.020800026133656502,0.000433491911788725,0.0005659528680212378,0.000433491911788725,0.0005659528680212378,0.0007286228327373043,0.0011908271074323373,0.0007286228327373043,0.0011908271074323373,0.0009317122342581153,0.0009008469614583067,0.0009317122342581153,0.0009008469614583067,0.017339653101513836,0.022638122852009775,0.017339653101513836,0.022638122852009775,0.03726848713700746,0.036033875757836384,0.03726848713700746,0.036033875757836384
3,0.0033914738603947263,0.0032504966289832672,0.001,5.992492000004859,0.0032504966289832672,val_loss,0.0032504966289832672,3,0,True,True,0.025265433729521405,0.009506071917712688,0.00036549278030098233,0.00041284198250014114,0.00036549278030098233,0.00041284198250014114,0.0008511968593977163,0.0011666463482617317,0.0008511968593977163,0.0011666463482617317,0.0007344252315749904,0.0006255230336067823,0.0007344252315749904,0.0006255230336067823,0.014619709517173009,0.016513687311470272,0.014619709517173009,0.016513687311470272,0.029377009245904154,0.0250209223916915,0.029377009245904154,0.0250209223916915
4,0.002890046227827756,0.0020745486558960942,0.001,7.902499600008014,0.0020745486558960942,val_loss,0.0020745486558960942,4,0,True,True,0.019154915426542567,0.005601805634796619,0.0003590106857375145,0.00036074017505047907,0.0003590106857375145,0.00036074017505047907,0.0005348433089651759,0.0004570484271820002,0.0005348433089651759,0.0004570484271820002,0.0007141986504703329,0.0005941696051264267,0.0007141986504703329,0.0005941696051264267,0.014360443447141774,0.0144296150199015,0.014360443447141774,0.0144296150199015,0.0285679455431903,0.023766785205519746,0.0285679455431903,0.023766785205519746
5,0.0026927025573861107,0.002082901174234676,0.001,9.939612600006512,0.0020745486558960942,val_loss,0.0020745486558960942,4,1,True,False,0.013569203533476125,0.0025078970938920975,0.0003470790967725249,0.0003874691738762916,0.0003470790967725249,0.0003874691738762916,0.00034869803533076017,0.0005325089887402026,0.00034869803533076017,0.0005325089887402026,0.000706668582530764,0.0005793292104839734,0.000706668582530764,0.0005793292104839734,0.01388315675953205,0.015498774106485494,0.01388315675953205,0.015498774106485494,0.028266742950784178,0.02317316891801837,0.028266742950784178,0.02317316891801837
6,0.0026448266113665957,0.0020534502518973472,0.001,10.235246399999596,0.0020534502518973472,val_loss,0.0020534502518973472,6,0,True,True,0.014321864202219509,0.003264619503170252,0.0003395911059989288,0.0003227956303510501,0.0003395911059989288,0.0003227956303510501,0.00034648374887083803,0.0006095225525293771,0.00034648374887083803,0.0006095225525293771,0.000700996112805464,0.0005745124005931244,0.000700996112805464,0.0005745124005931244,0.013583645290005896,0.012911835700981098,0.013583645290005896,0.012911835700981098,0.02803984430163126,0.022980496281957218,0.02803984430163126,0.022980496281957218
7,0.0025898772298707283,0.001917067107519713,0.001,12.270730999996886,0.001917067107519713,val_loss,0.001917067107519713,7,0,True,True,0.010931623622858997,0.0016624601557850838,0.0003344327001524689,0.0003219671723750211,0.0003344327001524689,0.0003219671723750211,0.00032828112085057573,0.00048082332744560737,0.00032828112085057573,0.00048082332744560737,0.0006951144162632574,0.0005704149496493639,0.0006951144162632574,0.0005704149496493639,0.013377311111439352,0.01287869891526366,0.013377311111439352,0.01287869891526366,0.0278045760734211,0.022816598400491335,0.0278045760734211,0.022816598400491335
8,0.002560647971691855,0.0018997499205428978,0.001,14.193257999999332,0.0018997499205428978,val_loss,0.0018997499205428978,8,0,True,True,0.010310202130341914,0.0018654866144061089,0.00033057494828087243,0.00030137110653028745,0.00033057494828087243,0.00030137110653028745,0.000312370450144046,0.0004869564686900877,0.000312370450144046,0.0004869564686900877,0.0006925798529629614,0.0005701329357047391,0.0006925798529629614,0.0005701329357047391,0.013223001602478369,0.012054850518462175,0.013223001602478369,0.012054850518462175,0.02770319372532015,0.022805318198662525,0.02770319372532015,0.022805318198662525
9,0.0025357807798250674,0.0018722320152125482,0.001,16.09223280000151,0.0018722320152125482,val_loss,0.0018722320152125482,9,0,True,True,0.009368998654618882,0.0012352787889540195,0.00032755595031726676,0.00029856837972813433,0.00032755595031726676,0.00029856837972813433,0.0003079790002552995,0.00046663383492712976,0.0003079790002552995,0.00046663383492712976,0.0006896477517765022,0.000568448223649133,0.0006896477517765022,0.000568448223649133,0.013102238930953188,0.0119427441288249,0.013102238930953188,0.0119427441288249,0.027585909414656613,0.02273792918259296,0.027585909414656613,0.02273792918259296
10,0.002515207076373793,0.0018508118842246717,0.001,18.21156229999906,0.0018508118842246717,val_loss,0.0018508118842246717,10,0,True,True,0.009017567615289008,0.0016931905411183834,0.0003246688860287797,0.0002889434596357322,0.0003246688860287797,0.0002889434596357322,0.00030531908037771845,0.0004515501837628925,0.00030531908037771845,0.0004515501837628925,0.0006871945210891839,0.0005682249693967983,0.0006871945210891839,0.0005682249693967983,0.01298675618161504,0.011557749126637684,0.01298675618161504,0.011557749126637684,0.027487780254227975,0.022728999175518582,0.027487780254227975,0.022728999175518582
