percent,index,timestamp,actual_x,actual_y,actual_theta,predicted_x,predicted_y,predicted_theta,xy_error,heading_error,cmd_baseline_x,cmd_baseline_y,cmd_baseline_theta,cmd_baseline_xy_error,cmd_baseline_heading_error,cumulative_distance_actual,cumulative_distance_predicted
0,0,7.549544811248779,1.4373213897131194,0.23088763619690766,0.03108029268519938,1.41623374120761,0.2451449299829303,0.030869701091875784,0.02545504558221948,0.00021059159332359467,1.4148749157626066,0.22704972349707286,0.031297072405826215,0.022772214795724263,0.00021677972062683626,0.0,0.0
10,194,18.299545288085938,25.42824272413496,7.084711115934375,0.3895421389523574,20.422493912819164,11.609863425614721,0.34131400397790174,6.747927429055153,0.04822813497445566,22.478473092304945,4.215458921661933,0.35698478586935584,4.115063673286698,0.03255735308300156,25.044299620500308,22.422147848659943
20,387,28.399545669555664,34.451253144375826,27.35124378159264,1.7056647474294422,9.641957927752852,25.305784159976536,1.592533004703443,24.89347372724854,0.11313174272599924,20.221909004639787,19.200064766937455,2.95796256804992,16.39865707843162,1.252297820620478,48.80129355694049,45.1696787555877
30,581,38.599544525146484,22.175794664365526,47.623209962695256,1.9878686725883625,-3.0743816992591295,6.951385118597474,1.8617128416626536,47.87242152370317,0.12615583092570892,1.6068840593696407,11.8320392151067,3.008843044080957,41.28060061287082,1.0209743714925943,72.59805010199314,67.86398938081074
40,775,52.54954528808594,2.638746495355349,73.53317256541607,2.479476641115603,-11.42590736272292,-13.14210924097231,2.264279353690642,87.8089913640078,0.21519728742496103,-24.718497622681976,18.100863728338407,3.3361172582960728,61.81552934937179,0.8566406171804699,105.42519326985268,90.75350575687655
50,968,62.69954299926758,-19.57430316036472,73.11576759245757,3.52310207290664,5.446656741339654,-16.519461890551202,3.2494795063816917,93.061929911615,0.2736225665249483,-28.80716728352188,2.4085992572011974,5.124879894585207,71.3074290232579,1.6017778216785667,129.26292998561394,113.52086019547949
60,1162,73.99954223632812,-41.54492688589815,59.260266831361875,3.543286882446587,20.317768636775792,-0.03349906572984983,3.2505542761079362,85.68981136395493,0.29273260633865084,-19.06543738556794,-17.821682536823523,4.717282968674353,80.29292849681691,1.173996086227766,155.2433940623501,135.7396275095363
70,1356,86.64954376220703,-63.29758885488938,41.10454405357471,4.075873326859176,30.415296265366603,18.65879198270403,3.7174466232974503,96.36346103990502,0.35842670356172546,-10.630558195862571,-40.93428548750291,5.602987826562667,97.48941312218913,1.5271144997034911,183.9082445287398,157.8700170606686
80,1550,96.79954528808594,-60.5159509481021,19.219941985910918,5.108810435624078,12.603164518526905,21.01312548650845,4.712241557437823,73.14110030406324,0.3965688781862555,1.3114981181966663,-30.421575191738626,7.664832543754783,79.29006044735142,2.556022108130705,207.18472568523592,180.04783526879825
90,1743,107.59954833984375,-46.73884706232983,-0.8156474120257631,5.35037090391577,-2.3174306731925967,5.420727955904965,4.952625845664601,44.85704640016821,0.3977450582511688,2.1295403120883094,-8.869586441076148,7.998843760096206,49.52762076316458,2.6484728561804367,231.52954197433795,201.73482572752053
100,1937,117.99954605102539,-24.072228621983797,-4.553561376509164,6.330553090795111,11.480045594432049,-6.98429508981019,5.904340511021433,35.63527281141826,0.42621257977367843,-14.066243175906697,-11.05534884805014,10.064978142256564,11.932853182378217,3.7344250514614528,255.6435700155094,224.3052653795165
