step,time_s,cmd_v,cmd_omega,ideal_x,ideal_y,ideal_theta,res_x,res_y,res_theta
0,0.0,2.0,-0.7853981852531433,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04999999999999716,2.0,-0.7853981852531433,0.09997429988548984,-0.001963243146356564,-0.03926990926265493,0.1005154624581337,0.001975414576008916,-0.03587813302874565
2,0.09999999999999432,2.0,-0.7853981852531433,0.19979444663825974,-0.007849945406624554,-0.07853981852530986,0.20098271180309754,0.00032600210775805003,-0.0719810388982296
3,0.14999999999999147,2.0,-0.7853981852531433,0.29930652481856046,-0.017651029912090218,-0.1178097277879648,0.3012927086896729,-0.004939808458875554,-0.1080741174519062
4,0.19999999999998863,2.0,-0.7853981852531433,0.3983570940060787,-0.031351384100001926,-0.15707963705061972,0.40132572505913394,-0.013813574926291556,-0.14417865499854088
5,0.2499999999999858,2.0,-0.7853981852531433,0.49679342539395677,-0.048929883016047844,-0.19634954631327467,0.5009524188110777,-0.02629579582274417,-0.1802990399301052
6,0.29999999999998295,2.0,-0.7853981852531433,0.5944637372855558,-0.07035942188750612,-0.23561945557592961,0.6000507927447227,-0.04235676114602189,-0.21643739193677902
7,0.3499999999999801,2.0,-0.7853981852531433,0.6912174291308438,-0.09560695791684216,-0.27488936483858456,0.6984937701716513,-0.06197885374590174,-0.25259097665548325
8,0.39999999999997726,2.0,-0.7853981852531433,0.7869053137415408,-0.12463356123131032,-0.3141592741012395,0.7961553830448969,-0.08513998030057039,-0.28875646367669106
9,0.4499999999999744,2.0,-0.7853981852531433,0.881379847326963,-0.15739447490999922,-0.35342918336389445,0.8929099484694594,-0.11181240870875184,-0.3249308690428734
10,0.4999999999999716,2.0,-0.7853981852531433,0.9744953569958659,-0.19383918399576366,-0.3926990926265494,0.9886340598215853,-0.1419625503330077,-0.3611110560595989
11,0.5499999999999687,2.0,-0.7853981852531433,1.0661082653734972,-0.23391149338563147,-0.43196900188920434,1.083203745389604,-0.1755517742215087,-0.3972955420613289
12,0.5999999999999659,2.0,-0.7853981852531433,1.1560773119875138,-0.277549614479584,-0.4712389111518593,1.1764962750192687,-0.21253653034655598,-0.4334833212196827
13,0.649999999999963,2.0,-0.7853981852531433,1.244263771081404,-0.32468626045410404,-0.5105088204145142,1.2683896927101648,-0.25286921535568047,-0.469673216342926
